ConstituentID,Source,URL
379487,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500333269
318305,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500073050
304731,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500041866
3083,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500001312
315079,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500121192
279530,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500082713
19399,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500242510
278202,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500267405
2087,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500014771
282756,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500098945
280549,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500107170
338534,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500129359
327837,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500033374
272059,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500125604
275262,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500341089
273270,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500002452
306898,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500346689
378777,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500280726
379773,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500344372
355823,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500036518
304883,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500036886
273247,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500066931
339338,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500071586
379255,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500346976
268624,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500074828
275477,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500331602
304150,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500287434
274744,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500111749
379796,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500338725
284654,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500345350
319842,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500120635
279390,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500036578
280718,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500336473
379278,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500285494
8579,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500081425
321571,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500199196
379756,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500330381
277993,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500093060
317695,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500125370
7952,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500033328
303632,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500335422
300715,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500339962
267087,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500036969
298700,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500097902
4643,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500103290
292958,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500057100
316012,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500076083
288630,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500123791
26578,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500014954
272537,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500204683
271458,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500340316
379172,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500266786
331458,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500033385
281342,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500075627
276081,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500115123
291229,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500326154
312872,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500344097
378969,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500345017
21274,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500037128
374300,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500015397
1895,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500002985
314887,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500109807
286214,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500110432
1895,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500002985
379364,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500356405
379905,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500244526
301116,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500075941
295431,Union List of Artist Names,https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500125372
