2188,Bruce Weber,American
2189,William Wegman,American
2190,Roger Minick,American
2191,Nathan Lyons,American
2192,Elaine Mayes,American
2193,Henry Wessel Jr.,American
2194,Harold Henry Jones,American
2195,Tod Papageorge,American
2196,Jim Alinder,American
2197,Robbert F. Flick,Canadian
2198,Barbara Crane,American
2199,Steve Fitch,American
2200,Michael Becotte,American
2201,Michael Bishop,American
2202,Ken Brown,American
2203,Robert Whitten Fichter,American
2204,Victor Landweber,American
2205,Barbara Jo Revelle,American
2206,Robert A. Widdicombe,American
2209,Emma J. Farnsworth,American
2210,Edward Bailey Eaton,American
2211,Norddeutscher Lloyd,German
2212,Eugène Atget,French
2213,Brown Bros.,American
2214,George Gilbert,American
2215,Johnston & Hoffmann,British
2216,Ranger & Austen,American
2217,Herman Landshoff,American
2218,Steve Albahari,American
2220,Robinson & Churchman,American
2221,Central Photo Parlors,American
2222,Colombus W. Motes,American
2223,William H. Potter,American
2224,James S. Cummins,American
2225,Charles Milton Bell,American
2226,Cherrington & Bros.,American
2228,John C. H. Grabill,American
2229,Man Ray,American
2230,Albert J. Naegeli,American
2231,Alfred Cox,American
2232,Richard Henry Smith,English
2233,Andries Jager,Dutch
2234,Brewster Co.,Scottish
2235,Christopher Braun,American
2236,G. Solis,Cuban
2237,Hills & Saunders,English
2239,Owen A. Eames,American
2241,Charles C. Cook,American
2242,Pettibone Bros. Manufacturing Co.,American
2244,F. Bedrich Grunzweig,American
2245,Wilhelm Photo Studio,American
2248,Bisson Frères,French
2250,Jeffrey Wolin,American
2251,Edward Daniel Macfee Jr.,American
2253,J. H. Schenck,American
2254,James Hall Nasmyth,English
2255,James Carpenter,American
2256,John B. Scholl,American
2257,Joanne Dugan,American
2259,Mervyn Herbert Nevil Story-Maskelyne,English
2260,Edward King Tenison,Irish
2261,Camino,Spanish
2262,Emilio Beauchy,Spanish
2263,Charles Clifford,English
2264,Juan Laurent y Cia,Spanish
2265,Timothy Greenfield-Sanders,American
2266,Wolf von dem Bussche,American
2267,Leo Seltzer,American
2268,Lee D. Witkin,American
2269,Russell-Morgan Print,American
2270,Eastman Kodak Company,American
2271,Henry Frederick Van der Weyde,English
2272,William Henry Tipton,American
2273,Thomas Richard Williams,English
2275,Alexander J. Copelin,American
2278,James Casebere,American
2279,New York Zoological Society,American
2280,Ann P. Meredith,American
2281,J. Hermanovitch,Lithuanian
2282,Giacomo Brogi,Italian
2283,C. Hodcend,Italian
2284,L. P.,French
2285,N. D. Phot.,French
2286,Ferdinando Ongania,Italian
2287,Carlo Ponti,Italian
2289,Charles Pollock,American
2290,Jacob Siler,American
2291,Charles E. Bolles,American
2292,William E. Daugherty,American
2293,Louis E. Hirschy,American
2294,M. H. Birge & Sons,American
2295,Villroy L. Richardson,American
2297,William Y. Beach,American
2298,Steve Hoffman,American
2299,Josef Sudek,Czechoslovakian
2300,Samuel W. Vandivert,American
2302,Laurence Syter,NULL
2303,Elizabeth Buehrmann,American
2304,Dr. Charles Henry Breed,American
2307,Putnam & Valentine,American
2308,J. W. Wulff Jeune,French
2309,Cranmer C. Langill,American
2312,Theodore J. Kerlin,American
2313,Rensselaer Emmett Churchill,American
2316,Armand Hippolyte Louis Fizeau,French
2319,O. L. Deming,American
2320,Morris Huberland,American
2321,Anita M. Beer,American
2324,Karl Blossfeldt,German
2325,Robert Giard,American
2327,László Moholy-Nagy,American
2329,Duffus Bros.,South African
2331,Mathew B. Brady,American
2332,Arezoo Moseni,American
2333,Edward Schwartz,American
2334,Carleton Eugene Watkins,American
2335,Charles Leander Weed,American
2336,Ken Light,American
2338,Sir Cecil Beaton,English
2339,Eugène Pirou,French
2340,Alfred Eisenstaedt,American
2341,United States. Works Progress Administration,American
2342,Charles Delevan Mosher,American
2343,William J. Root,American
2344,Frances Benjamin Johnston,American
2345,Michael Torosian,Canadian
2346,Jean Locey,American
2350,Joseph H. Ladd,American
2362,Pierre Louÿs,French
2364,Yousuf Karsh,Canadian
2365,Rosie Mackewicz,American
2366,Arthur Sinsabaugh,American
2367,Carl Ray Woodring,American
2368,William Edward Friese-Greene,English
2369,Robert C. Price,American
2370,Jerry Dantzic,American
2371,Maury Englander,American
2372,Joseph R. Goldberg,American
2373,Joan Liftin,American
2374,John Messina,American
2375,Beverly Nadelman,American
2376,Susan S. Perry,American
2377,Nancy Rudolph,American
2379,Ethel Virga,American
2380,Barbra Walz,American
2381,Marke Daryl Webb,American
2382,Ezra Stoller,American
2383,Victor Prevost,French
2384,Carlo Naya,Italian
2385,Thomas William Leonard,American
2386,The Notman Photographic Co.,Canadian
2387,Larry Clark,American
2388,Alan Pogue,American
2389,Anne Hemminger,American
2390,Emery P. Révés-Biró,American
2391,Walter Henry Horne,American
2392,John A. Pack,American
2393,C. L. Howe & Son,American
2394,Albany Art Union,American
2395,Larry Racioppo,American
2396,John Y. Robinson,American
2397,Mike Mandel,American
2399,Herbert Rose Barraud,English
2400,Ralph Gibson,American
2401,Paul McCarthy,American
2402,Betty Tompkins,American
2403,John Milisenda,American
2404,Ralph Eugene Meatyard,American
2405,Danny Lyon,American
2406,Roy Colmer,American
2407,Scott Thomas Heiser,American
2408,Michele Mang,Italian
2409,Lieut. C. D. Kennedy,American
2410,Rufus W. Holsinger,American
2411,Michael Bernstein,American
2412,Lynn Geesaman,American
2414,Sara Yagi,American
2415,Elias Olcott Beaman,American
2417,James Valentine,Scottish
2418,Edward F. Foley,American
2419,Lock & Whitfield,English
2420,Edward Livingston Wilson,American
2422,Photographische Gesellschaft [Berlin, Germany],German
2423,M. James,Indian
2424,Gita Lenz,American
2425,Isaac Kassoy,American
2426,George Norman Barnard,American
2427,Jon Henry,American
2428,Scott Tugel,American
2429,Russell Lee,American
2431,David G. Noble,American
2433,Jonathan Torgovnik,American
2434,Kassian Cephas,Javanese
2435,O. Kurkdjan,German
2436,O. Hisgen & Co.,Dutch
2437,Handel Maatschappy,Dutch
2438,Bond Brothers,American
2441,R. Sylvan Wallace,American
2442,M. Glover,Irish
2444,Richard Gordon,American
2446,Bert G. Covell,American
2447,Milton Ernest Ebie,American
2448,William Eugene Irons,American
2449,George Barker,American
2450,Barry Brukoff,American
2451,Herb McLaughlin,American
2452,George Holz,American
2453,John Collins Warren,American
2456,Courret Hermanos,Peruvian
2457,Joseph Fagnani,Italian
2458,Gaëtan Viaris de Lesegno,French
2459,Frank Meadow Sutcliffe,English
2460,Beverly Brown,American
2461,J. Adamson & Son,Scottish
2464,Mrs. N. Gray Bartlett,American
2465,Hagler & White,American
2467,Frederick Richard Dapprich,American
2469,Terence Koh,American
2470,Donald Baechler,American
2472,Bruce Bennett,American
2474,Philander H. Kellogg,American
2475,Edward A. G. Smith,American
2476,James Russell & Sons,English
2477,Frank Starke,American
2478,C. H. Howe,American
2479,Nadar,French
2480,Joseph M. Appleton,American
2481,Valleto y Cia,Mexican
2482,Eugenio Courret,Peruvian
2483,Carlos Vasques,Portuguese
2484,Alfred Weidener,German
2485,John P. Nicholas & Co.,Indian
2486,Weegee,American
2487,William J. Hillman,American
2488,Eliot Furness Porter,American
2489,Franco Fontana,Italian
2490,Peter Innisfree Moore,American
2491,Diane Arbus,American
2492,Georges Piette,French
2493,Alma R. Lavenson,American
2494,David M. Grossman,American
2495,Diane Witlin,American
2496,Ray Witlin,American
2497,Harvey Horowitz,American
2498,William Clift,American
2499,Jerry L. Thompson,American
2500,Denny Denfield,American
2501,Theodore Endean,American
2502,William M. Morrison,American
2503,William H. Rau,American
2504,Robert Gambee,American
2505,Liberian Art Publishing Company,American
2506,Souvenir Photo. Co.,American
2507,Beaumont Newhall,American
2508,Maxime Du Camp,French
2509,Robert Disraeli,American
2510,Ben Heller,American
2511,Roy Perry,American
2512,Walt Sander,American
2513,Ben Schnall,American
2514,Lee Sievan,American
2516,L. G. Brockman,Chinese
2517,J. Goux,NULL
2518,Herman W. Fechner,American
2519,Budd Studio,American
2520,André Roosevelt,French
2522,Cincinnati Art Foundry,American
2523,Bernard G. Silberstein,American
2524,Joseph Parkin Mayall,English
2525,Martin S. Zuckermann,American
2527,Dr. Joseph Janvier Woodward,American
2528,Abe Frajndlich,German
2529,Ruth Orkin,American
2530,Étienne Neurdein,French
2531,Piloty & Loehle,German
2532,Gustav Schauer,German
2533,Knaffl & Bro.,American
2534,Emilie Bieber,German
2535,George F. Edwards,American
2536,Frank Henry Farley,American
2537,Liv Kristin Robinson,American
2538,Arthur Percy Fitt,American
2540,Kathryn Marx,American
2541,Charles Linn,American
2542,Wade Zimmerman,American
2543,Joseph Caputo,American
2544,Robert Capa,American
2545,John M. Dietz,American
2547,Baron Raimond von Stillfried-Rathenitz,Austrian
2548,See Tay,Chinese
2549,Thomas Child,British
2550,Manrique & Cia,Venezuelan
2551,Charles Marville,French
2552,Henri Jean-Louis Le Secq,French
2553,Louis Stanger,American
2555,Felix H. Man,British
2556,Erich Salomon,German
2557,Ye Holland Studios,American
2558,Joyce Fay,American
2559,Reesa Tansey,American
2560,Holland & Roberts,American
2561,Chester Burger,American
2562,Genevieve Naylor,American
2563,John K. Grande,Canadian
2564,William Barclay Parsons,American
2565,William & Daniel Downey,English
2566,David Wojnarowicz,American
2567,William C. Billington,American
2568,George F. Holman,American
2569,Louis M. Snow,American
2570,Walter A. Scott,American
2571,John S. Johnston,American
2572,James Burton,American
2573,John M. Moriarty,American
2574,Jim Antonucci,American
2576,Alexander Gardner,American
2578,William S. Wakeman,American
2579,Fred C. Rollman,American
2580,Charles C. Curtis,American
2581,Samuel A. M. Kneeland,American
2583,Wallis Gardner,American
2584,Lucien Reiser,German
2585,Johnstone, O'Shannessy & Co.,Australian
2586,James Anderson,Italian
2587,Henry F. De Puy,American
2589,Eric Lindbloom,American
2592,Toma Fichter,American
2593,Isaac F. Alofsin,American
2596,Todd Webb,American
2597,John Vachon,American
2598,Harold Corsini,American
2599,Andrew Joseph Russell,American
2601,Rhoda Nathans,American
2603,Louis Wiley,American
2604,Chris Maté,American
2605,Joannes Sébah,Turkish
2606,Helios Caire,Egyptian
2608,Guiseppe Incorpora,Italian
2609,Sommer,Italian
2610,Philip Mook,American
2611,Paul Boyer,French
2612,Sherman & McHugh,American
2613,Hermann Linck,Swiss
2614,John Gruen,American
2615,George H. Knight,American
2616,American Telephone and Telegraph Company,American
2617,Charles A. Ekberg,American
2618,Dr. Guillaume Duchenne,French
2620,Charles I. Newman,American
2621,Devon Cummings,American
2622,Paul A. McDonough,American
2625,Robert B. Bridges,American
2626,Arnold C. Hinton,American
2627,Isaac Almstaedt,American
2628,Rev. C. H. Baker,American
2629,Alexander Bassano,English
2630,Benque et Cie,French
2631,J. W. Black & Co.,American
2632,T. Boretti,Polish
2633,Van Bosch,French
2634,Bunnell [Houston, TX],American
2635,John N. Chamberlain,American
2636,Orville C. Conkling,American
2637,E. B. Core & Co.,American
2638,Charles Lake Cramer,American
2639,James H. Crockwell,American
2640,Dames & Hayes,American
2641,Edward C. Dana,American
2642,Frederick Egirt,American
2643,Jones & Lotz,American
2644,Ellis & Walery,English
2645,M. W. Emerson & Co.,American
2646,Jacob Fowzer,American
2648,Gilbert & Bacon,American
2649,Goupil & Cie,French
2650,F. Hall & Co.,American
2651,Levin Corbin Handy,American
2652,Thomas Houseworth & Co.,American
2653,Daniel H. Howd,American
2654,William A. Howe,American
2656,Marcellus D. Kilburn,Canadian
2658,Rudolf Krziwanek,Austrian
2659,William Kurtz,American
2660,James Lafayette,Irish
2662,M. Landesberg,American
2663,James M. Landy,American
2664,George W. Leeds,American
2665,Charles Robertson Lenthall,English
2667,Loescher & Petsch,German
2668,London Stereoscopic Co.,English
2669,Julius Ludovici,American
2670,Lyon & Vey,Canadian
2671,Albert Martin Marton,American
2672,Hezekiah McMichael,American
2674,R. Minzloff,Russian
2675,José María Mora Sr.,American
2678,George Daniels Morse,American
2679,James Notman,Canadian
2680,Charles Parker,American
2681,Morris B. Parkinson,American
2682,Thomas E. Perkins,Canadian
2683,Pierre Petit & Fils,French
2684,Francis A. Place,American
2685,George Loren Prince Sr.,American
2686,Enrico Resta,English
2687,Reutlinger,French
2688,Ritz & Hastings,American
2689,Robinson & Roe,American
2690,Charles B. Schmitt,American
2691,Seeley & Warnock,American
2692,George W. Sittler,American
2693,Sloan (National Youth Administration),American
2694,Augustus B. Taylor,American
2695,Pulaski W. Tennant,American
2696,The Imperial Photographic Gallery [San Francisco, CA],American
2697,Walery,Polish
2699,Bailey, Dix & Mead,American
2700,John Bowers,South African
2701,Frank T. Butler,American
2702,William Joseph Byrne & Co.,English
2703,Ladrey-Disderi,French
2705,Conrad M. Gilbert,American
2706,Joseph Hall,American
2708,Tom James,American
2709,Herman Lancaster,American
2710,Charles Fletcher Lummis,American
2711,Frank P. Macnabb,American
2714,Antonio E. Moreno,American
2715,George K. Nellis,American
2717,Palmquist & Jurgens,American
2718,Bransly C. Pentz,American
2719,Roberts & Myhre,American
